"num" "sf" "shift" "Temp" "LM" "MW" "C" "N" "Rh" "O" "cansmi" "envlab" "ref"
"57" "RhMan0925-CMP98" "C29H22F3O3PRh" "317" 298 "CDCl3" 609.3576506 29 0 1 3 "[O]#C[Rh]1([O]=C(C=C(O1)C(F)(F)F)c1ccccc1)P(c1ccccc1)(c1ccccc1)c1ccccc1" "O1O1C1P1" "https://doi.org/10.1016/j.poly.2019.04.052"
"58" "RhMan0925-CMP99" "C29H22F3O3PRh" "325" 298 "CDCl3" 609.3576506 29 0 1 3 "[O]#C[Rh]1([O]=C(C=C(O1)C(F)(F)F)c1ccccc1)P(c1ccccc1)(c1ccccc1)c1ccccc1" "O1O1C1P1" "https://doi.org/10.1016/j.poly.2019.04.052"
"59" "RhMan0925-CMP100" "C27H20F3O3PRhS" "332" 298 "CDCl3" 615.3853706 27 0 1 3 "[O]#C[Rh]1(OC(=CC(=[O]1)c1cccs1)C(F)(F)F)P(c1ccccc1)(c1ccccc1)c1ccccc1" "O1O1C1P1" "https://doi.org/10.1016/j.poly.2019.04.052"
"60" "RhMan0925-CMP101" "C27H20F3O3PRhS" "321" 298 "CDCl3" 615.3853706 27 0 1 3 "[O]#C[Rh]1(OC(=CC(=[O]1)c1cccs1)C(F)(F)F)P(c1ccccc1)(c1ccccc1)c1ccccc1" "O1O1C1P1" "https://doi.org/10.1016/j.poly.2019.04.052"
"61" "RhMan0925-CMP102" "C24H24NO2PRh" "103" 298 "CDCl3" 492.332121 24 1 1 2 "[O]#C[Rh]1(NC(=CC(=[O]1)C)C)P(c1ccccc1)(c1ccccc1)c1ccccc1" "N1O1C1P1" "https://doi.org/10.1016/j.poly.2019.04.052"
"62" "RhMan0925-CMP103" "C24H24NO2PRh" "135" 298 "CDCl3" 492.332121 24 1 1 2 "[O]#C[Rh]1(NC(=CC(=[O]1)C)C)P(c1ccccc1)(c1ccccc1)c1ccccc1" "N1O1C1P1" "https://doi.org/10.1016/j.poly.2019.04.052"
"63" "RhMan0925-CMP104" "C30H28NO2PRh" "190" 298 "CDCl3" 568.428081 30 1 1 2 "[O]#C[Rh]1([O]=C(C)C=C(N1c1ccccc1)C)P(c1ccccc1)(c1ccccc1)c1ccccc1" "N1O1C1P1" "https://doi.org/10.1016/j.poly.2019.04.052"
"64" "RhMan0925-CMP105" "C13H19O2Rh" "1286" 298 "CDCl3" 310.19426 13 0 1 2 "CC1=CC(=[O][Rh]234(O1)C1C4CCC2C3CC1)C" "O1O1C1C1C1C1" "https://doi.org/10.1016/j.poly.2019.04.052"
"65" "RhMan0925-CMP106" "C13H16F3O2Rh" "1327" 298 "CDCl3" 364.1656496 13 0 1 2 "CC1=CC(=[O][Rh]234(O1)C1C4CCC2C3CC1)C(F)(F)F" "O1O1C1C1C1C1" "https://doi.org/10.1016/j.poly.2019.04.052"
"66" "RhMan0925-CMP107" "C22H25FeO2Rh" "1291" 298 "CDCl3" 480.1832 22 0 1 2 "CC1=CC(=[O][Rh]234(O1)C1C4CCC2C3CC1)C12C3[Fe]4567892(C1C5C34)C1C8C7C6C91" "O1O1C1C1C1C1" "https://doi.org/10.1016/j.poly.2019.04.052"
"67" "RhMan0925-CMP108" "C31H31Fe2O2Rh" "1296" 298 "CDCl3" 650.17214 31 0 1 2 "C1=C(O[Rh]234([O]=C1C15C6[Fe]789%10%11%125(C1C8C67)C1C%11C%10C9C%121)C1C4CCC2C3CC1)C12C3[Fe]4567892(C1C5C34)C1C8C7C6C91" "O1O1C1C1C1C1" "https://doi.org/10.1016/j.poly.2019.04.052"
"68" "RhMan0925-CMP109" "C27H27FeO2Rh" "1300" 298 "CDCl3" 542.25258 27 0 1 2 "c1ccc(cc1)C1=CC(=[O][Rh]234(O1)C1C4CCC2C3CC1)C12C3[Fe]4567892(C1C5C34)C1C8C7C6C91" "O1O1C1C1C1C1" "https://doi.org/10.1016/j.poly.2019.04.052"
"69" "RhMan0925-CMP110" "C22H22F3FeO2Rh" "1327" 298 "CDCl3" 534.1545896 22 0 1 2 "FC(C1=CC(=[O][Rh]234(O1)C1C4CCC2C3CC1)C12C3[Fe]4567892(C1C5C34)C1C8C7C6C91)(F)F" "O1O1C1C1C1C1" "https://doi.org/10.1016/j.poly.2019.04.052"
"70" "RhMan0925-CMP111" "C45H34F3PRh" "507" 298 "C6D6" 765.6259306 45 0 1 0 "Fc1ccc(cc1)P([Rh]123(C(=C4c5ccccc5-c5c4cccc5)c4ccccc4)C4C3C3C2C1C4C3)(c1ccc(cc1)F)c1ccc(cc1)F" "C1C1C1C1P1C1" "https://doi.org/10.1002/ejic.201801411"
"71" "RhMan0925-CMP112" "C48H34F9PRh" "499" 298 "CD2Cl2" 915.6484498 48 0 1 0 "FC(c1ccc(cc1)P([Rh]123(C(=C4c5ccccc5-c5c4cccc5)c4ccccc4)C4C3C3C2C1C4C3)(c1ccc(cc1)C(F)(F)F)c1ccc(cc1)C(F)(F)F)(F)F" "C1C1C1C1P1C1" "https://doi.org/10.1002/ejic.201801411"
"72" "RhMan0925-CMP113" "C51H31F18PRh" "508" 298 "CD2Cl2" 1119.6423586 51 0 1 0 "FC(c1cc(cc(c1)P([Rh]123(C(=C4c5ccccc5-c5c4cccc5)c4ccccc4)C4C3C3C2C1C4C3)(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)C(F)(F)F)(F)F" "C1C1C1C1P1C1" "https://doi.org/10.1002/ejic.201801411"
